TransaccionID,Fecha,ProductoID,TiendaID,UnidadesVendidas,PrecioUnitarioAplicado,DescuentoPorcentaje,PrecioTotal
TRX-002960,2024-04-08,P-0094,T-034,3,582.95,0,1748.85
TRX-002961,2023-09-01,P-0136,T-033,13,362.08,0,4707.04
TRX-002962,2024-05-17,P-0160,T-018,6,192.15,0,1152.90
TRX-002963,2024-11-07,P-0115,T-011,10,154.21,21,1218.26
TRX-002964,2023-10-25,P-0016,T-032,1,362.85,0,362.85
TRX-002965,2023-02-03,P-0059,T-003,3,791.54,0,2374.62
TRX-002966,2023-03-22,P-0116,T-030,13,843.61,0,10966.93
TRX-002967,2024-06-21,P-0062,T-040,5,317.28,8,1459.49
TRX-002968,2023-02-04,P-0007,T-022,10,671.75,0,6717.50
TRX-002969,2023-04-26,P-0190,T-044,8,538.15,0,4305.20
TRX-002970,2023-08-24,P-0163,T-034,12,401.08,0,4812.96
TRX-002971,2024-11-21,P-0136,T-033,4,362.08,12,1274.52
TRX-002972,2023-05-30,P-0027,T-022,1,263.13,0,263.13
TRX-002973,2023-10-11,P-0172,T-018,15,578.97,0,8684.55
TRX-002974,2024-12-20,P-0019,T-041,6,285.14,0,1710.84
TRX-002975,2024-07-15,P-0132,T-007,6,520.27,5,2965.54
TRX-002976,2023-01-30,P-0186,T-039,14,313.41,26,3246.93
TRX-002977,2024-01-19,P-0009,T-047,9,54.26,0,488.34
TRX-002978,2023-04-15,P-0169,T-001,4,670.97,0,2683.88
TRX-002979,2024-03-21,P-0174,T-021,14,563.29,0,7886.06
TRX-002980,2024-09-24,P-0120,T-046,11,93.03,0,1023.33
TRX-002981,2024-09-08,P-0125,T-025,11,362.52,0,3987.72
TRX-002982,2023-01-13,P-0154,T-031,4,316.24,19,1024.62
TRX-002983,2024-03-11,P-0196,T-020,4,71.37,0,285.48
TRX-002984,2024-06-03,P-0175,T-041,2,52.76,0,105.52
TRX-002985,2024-03-07,P-0034,T-007,10,846.99,0,8469.90
TRX-002986,2024-02-25,P-0032,T-039,10,413.34,0,4133.40
TRX-002987,2023-10-12,P-0071,T-016,2,52.81,8,97.17
TRX-002988,2023-10-20,P-0127,T-033,2,241.26,22,376.37
TRX-002989,2023-11-14,P-0126,T-029,1,349.7,0,349.70
TRX-002990,2023-03-26,P-0008,T-008,12,173.65,0,2083.80
TRX-002991,2023-10-10,P-0181,T-011,2,448.57,0,897.14
TRX-002992,2024-08-27,P-0028,T-008,10,247.29,0,2472.90
TRX-002993,2024-12-02,P-0002,T-021,5,300.52,22,1172.03
TRX-002994,2024-09-07,P-0135,T-001,1,56.77,0,56.77
TRX-002995,2024-04-29,P-0141,T-013,10,248.53,0,2485.30
TRX-002996,2024-02-02,P-0100,T-034,14,253.63,0,3550.82
TRX-002997,2023-11-05,P-0175,T-016,9,52.76,0,474.84
TRX-002998,2024-04-06,P-0074,T-015,15,318.26,19,3866.86
TRX-002999,2023-12-13,P-0034,T-014,14,846.99,0,11857.86
TRX-003000,2024-09-11,P-0067,T-005,8,815.39,0,6523.12
TRX-003001,2024-09-28,P-0163,T-036,12,401.08,0,4812.96
TRX-003002,2023-04-02,P-0055,T-024,1,260.72,0,260.72
TRX-003003,2023-05-26,P-0190,T-008,9,538.15,0,4843.35
TRX-003004,2024-06-02,P-0034,T-021,11,846.99,0,9316.89
TRX-003005,2024-04-13,P-0174,T-028,9,563.29,0,5069.61
TRX-003006,2024-09-02,P-0014,T-026,11,279.19,24,2334.03
TRX-003007,2024-03-30,P-0040,T-010,10,105.36,0,1053.60
TRX-003008,2024-07-17,P-0062,T-050,8,317.28,0,2538.24
TRX-003009,2024-02-07,P-0186,T-027,5,313.41,0,1567.05
TRX-003010,2023-03-02,P-0086,T-036,8,112.12,0,896.96
TRX-003011,2023-03-02,P-0122,T-036,9,784.1,0,7056.90
TRX-003012,2024-11-30,P-0080,T-025,6,436.63,0,2619.78
TRX-003013,2024-09-22,P-0199,T-005,1,764.34,0,764.34
TRX-003014,2023-07-04,P-0028,T-004,2,247.29,0,494.58
TRX-003015,2023-06-29,P-0076,T-049,6,392.31,0,2353.86
TRX-003016,2023-08-03,P-0068,T-002,3,303.34,0,910.02
TRX-003017,2024-05-07,P-0080,T-032,6,436.63,28,1886.24
TRX-003018,2023-02-17,P-0193,T-050,1,299.11,0,299.11
TRX-003019,2024-02-17,P-0048,T-009,5,473.4,12,2082.96
TRX-003020,2024-07-02,P-0143,T-004,15,601.55,0,9023.25
TRX-003021,2023-09-26,P-0049,T-040,2,622.79,0,1245.58
TRX-003022,2024-01-16,P-0135,T-016,12,56.77,0,681.24
TRX-003023,2023-08-15,P-0049,T-017,10,622.79,0,6227.90
TRX-003024,2023-03-14,P-0001,T-045,6,391.99,0,2351.94
TRX-003025,2023-11-29,P-0155,T-041,12,452.98,0,5435.76
TRX-003026,2023-06-19,P-0159,T-008,4,429.43,0,1717.72
TRX-003027,2024-06-29,P-0086,T-012,11,112.12,0,1233.32
TRX-003028,2024-06-06,P-0118,T-020,2,456.92,0,913.84
TRX-003029,2024-10-21,P-0013,T-005,10,227.61,0,2276.10
TRX-003030,2023-05-18,P-0048,T-005,6,473.4,17,2357.53
TRX-003031,2024-02-29,P-0085,T-033,6,574.36,0,3446.16
TRX-003032,2024-07-23,P-0125,T-002,14,362.52,0,5075.28
TRX-003033,2024-01-02,P-0065,T-030,3,529.46,0,1588.38
TRX-003034,2024-10-16,P-0167,T-040,7,148.44,0,1039.08
TRX-003035,2023-05-13,P-0114,T-043,4,109.83,0,439.32
TRX-003036,2024-12-17,P-0032,T-045,1,413.34,0,413.34
TRX-003037,2023-05-23,P-0138,T-003,8,564.42,0,4515.36
TRX-003038,2024-05-08,P-0173,T-048,13,463.76,0,6028.88
TRX-003039,2024-12-11,P-0153,T-006,4,234.58,20,750.66
TRX-003040,2024-05-27,P-0127,T-041,15,241.26,0,3618.90
TRX-003041,2023-07-28,P-0129,T-004,8,522.69,8,3847.00
TRX-003042,2023-02-28,P-0154,T-024,7,316.24,19,1793.08
TRX-003043,2024-07-05,P-0154,T-033,11,316.24,30,2435.05
TRX-003044,2023-10-07,P-0013,T-018,6,227.61,27,996.93
TRX-003045,2024-09-19,P-0150,T-031,3,795.09,0,2385.27
TRX-003046,2023-08-15,P-0186,T-038,4,313.41,0,1253.64
TRX-003047,2023-04-01,P-0122,T-044,15,784.1,0,11761.50
TRX-003048,2024-10-08,P-0028,T-039,13,247.29,15,2732.55
TRX-003049,,P-0029,T-020,13,386.02,,5018.26
TRX-003050,2023-03-14,P-0026,T-031,10,537.16,13,4673.29
TRX-003051,2024-02-17,P-0040,T-007,8,105.36,0,842.88
TRX-003052,2023-05-20,P-0003,T-008,11,834.48,7,8536.73
TRX-003053,2023-04-24,P-0190,T-032,15,538.15,0,8072.25
TRX-003054,2023-07-05,P-0105,T-015,9,800.31,0,7202.79
TRX-003055,2024-07-28,P-0072,T-015,4,173.17,0,692.68
TRX-003056,2023-09-09,P-0190,T-010,13,538.15,0,6995.95
TRX-003057,2024-11-21,P-0137,T-033,13,510.97,0,6642.61
TRX-003058,2024-10-12,P-0116,T-027,2,843.61,0,1687.22
TRX-003059,2024-09-12,P-0088,T-029,14,298.09,7,3881.13
TRX-003060,2023-07-12,P-0064,T-021,1,378.64,0,378.64
TRX-003061,2024-03-18,P-0151,T-010,14,71.31,19,808.66
TRX-003062,2024-02-02,P-0178,T-009,12,220.82,0,2649.84
TRX-003063,2024-04-07,P-0110,T-033,1,536.34,0,536.34
TRX-003064,2024-08-02,P-0025,T-010,4,616.78,0,2467.12
TRX-003065,2024-10-20,P-0044,T-031,5,175.16,26,648.09
TRX-003066,2024-01-26,P-0024,T-041,11,711.7,0,7828.70
TRX-003067,2024-04-06,P-0136,T-048,14,362.08,13,4410.13
TRX-003068,2024-07-11,P-0033,T-040,5,707.22,0,3536.10
TRX-003069,2024-05-23,P-0008,T-034,7,173.65,0,1215.55
TRX-003070,2024-04-30,P-0024,T-045,5,711.7,0,3558.50
TRX-003071,2024-12-13,P-0198,T-001,8,300.38,0,2403.04
TRX-003072,2024-01-31,P-0120,T-020,15,93.03,0,1395.45
TRX-003073,2024-11-03,P-0100,T-049,15,253.63,0,3804.45
TRX-003074,2023-05-11,P-0106,T-035,14,794.31,0,11120.34
TRX-003075,2024-07-06,P-0182,T-046,12,417.62,7,4660.64
TRX-003076,2023-08-20,P-0035,T-031,10,580.48,0,5804.80
TRX-003077,2023-08-30,P-0142,T-007,14,518.66,0,7261.24
TRX-003078,2023-12-25,P-0083,T-050,5,604.06,0,3020.30
TRX-003079,2023-04-27,P-0153,T-010,13,234.58,0,3049.54
TRX-003080,2023-03-19,P-0090,T-037,13,577.16,0,7503.08
TRX-003081,2023-09-21,P-0102,T-011,4,577.31,0,2309.24
TRX-003082,2023-10-08,P-0077,T-047,10,740.59,0,7405.90
TRX-003083,2023-10-03,P-0117,T-011,13,347.03,0,4511.39
TRX-003084,2024-07-07,P-0003,T-014,3,834.48,0,2503.44
TRX-003085,2024-09-14,P-0122,T-036,4,784.1,11,2791.40
TRX-003086,2024-11-19,P-0024,T-046,14,711.7,0,9963.80
TRX-003087,2023-02-28,P-0144,T-027,2,394.88,0,789.76
TRX-003088,2023-07-06,P-0095,T-019,14,771.65,0,10803.10
TRX-003089,2023-02-10,P-0166,T-048,10,543.7,0,5437.00
TRX-003090,2023-05-27,P-0127,T-022,1,241.26,0,241.26
TRX-003091,2024-02-29,P-0016,T-021,8,362.85,0,2902.80
TRX-003092,2024-12-01,P-0011,T-016,3,230.29,0,690.87
TRX-003093,2023-05-05,P-0072,T-002,2,173.17,21,273.61
TRX-003094,2024-08-13,P-0012,T-015,2,750.9,29,1066.28
TRX-003095,,P-0132,T-045,7,520.27,,3641.89
TRX-003096,2024-10-18,P-0047,T-001,10,288.84,0,2888.40
TRX-003097,2024-11-09,P-0065,T-016,1,529.46,0,529.46
TRX-003098,2023-06-20,P-0051,T-006,4,533.16,0,2132.64
TRX-003099,2024-03-11,P-0187,T-021,10,389.42,0,3894.20
TRX-003100,2024-05-03,P-0062,T-014,15,317.28,0,4759.20
TRX-003101,2023-04-18,P-0059,T-012,5,791.54,6,3720.24
TRX-003102,2024-01-23,P-0089,T-005,11,94.19,0,1036.09
TRX-003103,2024-01-13,P-0093,T-030,15,765.58,0,11483.70
TRX-003104,2024-07-11,P-0183,T-036,13,381.33,0,4957.29
TRX-003105,2023-04-06,P-0063,T-036,6,134.79,0,808.74
TRX-003106,2023-03-24,P-0131,T-028,2,444.99,0,889.98
TRX-003107,2024-10-22,P-0128,T-041,1,642.57,0,642.57
TRX-003108,2024-05-14,P-0112,T-035,1,434.74,0,434.74
TRX-003109,2023-11-21,P-0011,T-032,2,230.29,0,460.58
TRX-003110,2024-02-25,P-0143,T-026,10,601.55,0,6015.50
TRX-003111,2023-05-24,P-0139,T-002,6,165.65,0,993.90
TRX-003112,2024-06-13,P-0161,T-019,14,564.7,11,7036.16
TRX-003113,2023-02-17,P-0153,T-029,2,234.58,0,469.16
TRX-003114,2024-06-19,P-0049,T-028,4,622.79,13,2167.31
TRX-003115,2023-09-26,P-0155,T-009,14,452.98,0,6341.72
TRX-003116,2024-09-21,P-0040,T-013,4,105.36,0,421.44
TRX-003117,2023-03-23,P-0158,T-027,14,841.94,27,8604.63
TRX-003118,2023-01-02,P-0167,T-045,11,148.44,0,1632.84
TRX-003119,2023-12-03,P-0184,T-024,3,663.06,0,1989.18
TRX-003120,2024-02-21,P-0027,T-050,4,263.13,0,1052.52
TRX-003121,2024-07-06,P-0161,T-018,6,564.7,0,3388.20
TRX-003122,2024-06-10,P-0114,T-022,9,109.83,0,988.47
TRX-003123,2024-05-30,P-0135,T-028,14,56.77,0,794.78
TRX-003124,2023-10-19,P-0189,T-042,6,641.43,0,3848.58
TRX-003125,2024-04-29,P-0085,T-005,2,574.36,0,1148.72
TRX-003126,2023-07-29,P-0028,T-014,11,247.29,0,2720.19
TRX-003127,2023-04-06,P-0115,T-005,8,154.21,0,1233.68
TRX-003128,2024-05-01,P-0136,T-003,2,362.08,25,543.12
TRX-003129,2023-02-09,P-0093,T-006,14,765.58,0,10718.12
TRX-003130,2023-02-08,P-0105,T-001,15,800.31,0,12004.65
TRX-003131,2024-04-17,P-0098,T-038,8,348.62,0,2788.96
TRX-003132,2023-07-09,P-0190,T-015,11,538.15,0,5919.65
TRX-003133,2024-11-21,P-0046,T-016,4,449.12,0,1796.48
TRX-003134,2023-11-05,P-0046,T-030,14,449.12,0,6287.68
TRX-003135,2024-02-02,P-0079,T-044,10,598.84,13,5209.91
TRX-003136,2023-01-12,P-0154,T-004,1,316.24,0,316.24
TRX-003137,2024-04-22,P-0023,T-021,9,345.99,6,2927.08
TRX-003138,2024-08-03,P-0080,T-049,4,436.63,0,1746.52
TRX-003139,2024-09-22,P-0009,T-002,2,54.26,0,108.52
TRX-003140,2023-02-17,P-0156,T-025,4,132.08,0,528.32
TRX-003141,2023-02-28,P-0023,T-017,2,345.99,24,525.90
TRX-003142,2024-05-19,P-0007,T-034,11,671.75,0,7389.25
TRX-003143,2023-11-12,P-0018,T-041,15,518.24,0,7773.60
TRX-003144,,P-0119,T-021,5,431.18,,1616.93
TRX-003145,2024-01-03,P-0118,T-039,4,456.92,0,1827.68
TRX-003146,2023-04-23,P-0017,T-020,2,362.07,0,724.14
TRX-003147,2023-01-10,P-0050,T-018,10,406.88,0,4068.80
TRX-003148,2024-10-30,P-0124,T-013,14,300.81,0,4211.34
TRX-003149,2023-04-15,P-0179,T-020,14,77.95,15,927.60
TRX-003150,2023-02-13,P-0178,T-025,4,220.82,0,883.28
TRX-003151,2023-01-11,P-0006,T-033,8,843.07,0,6744.56
TRX-003152,2024-02-03,P-0039,T-033,6,342.6,0,2055.60
TRX-003153,2024-05-05,P-0064,T-033,12,378.64,0,4543.68
TRX-003154,2024-05-23,P-0182,T-029,7,417.62,0,2923.34
TRX-003155,2024-09-26,P-0060,T-015,12,241.29,0,2895.48
TRX-003156,2023-12-25,P-0008,T-040,10,173.65,0,1736.50
TRX-003157,2023-08-03,P-0047,T-001,13,288.84,0,3754.92
TRX-003158,2024-11-29,P-0089,T-016,6,94.19,0,565.14
TRX-003159,2023-06-19,P-0157,T-045,3,349.73,0,1049.19
TRX-003160,2023-08-19,P-0188,T-038,10,628.65,17,5217.80
TRX-003161,2024-11-04,P-0185,T-046,14,541.49,0,7580.86
TRX-003162,2023-09-22,P-0095,T-014,2,771.65,0,1543.30
TRX-003163,2023-07-11,P-0118,T-039,6,456.92,25,2056.14
TRX-003164,2024-08-18,P-0118,T-035,2,456.92,12,804.18
TRX-003165,2023-12-20,P-0096,T-025,7,369.7,20,2070.32
TRX-003166,2023-03-02,P-0166,T-023,10,543.7,0,5437.00
TRX-003167,2024-01-28,P-0027,T-036,8,263.13,0,2105.04
TRX-003168,2024-02-05,P-0019,T-021,6,285.14,0,1710.84
TRX-003169,2024-03-20,P-0017,T-025,10,362.07,0,3620.70
TRX-003170,2024-05-02,P-0098,T-037,6,348.62,30,1464.20
TRX-003171,2024-10-03,P-0186,T-014,15,313.41,0,4701.15
TRX-003172,2023-06-27,P-0028,T-026,12,247.29,0,2967.48
TRX-003173,2024-08-25,P-0150,T-024,15,795.09,0,11926.35
TRX-003174,2024-05-22,P-0050,T-019,14,406.88,0,5696.32
TRX-003175,2023-12-25,P-0085,T-002,12,574.36,0,6892.32
TRX-003176,2024-11-21,P-0039,T-041,1,342.6,0,342.60
TRX-003177,2023-05-01,P-0182,T-005,6,417.62,15,2129.86
TRX-003178,2023-11-04,P-0196,T-039,14,71.37,0,999.18
TRX-003179,2024-03-10,P-0113,T-003,1,191.14,0,191.14
TRX-003180,2024-10-15,P-0074,T-021,6,318.26,24,1451.27
TRX-003181,2023-10-01,P-0138,T-038,7,564.42,0,3950.94
TRX-003182,2024-04-20,P-0182,T-002,1,417.62,29,296.51
TRX-003183,2024-01-07,P-0117,T-041,14,347.03,0,4858.42
TRX-003184,2023-10-27,P-0117,T-050,4,347.03,0,1388.12
TRX-003185,2023-07-27,P-0163,T-005,15,401.08,12,5294.26
TRX-003186,2024-08-19,P-0027,T-002,14,263.13,0,3683.82
TRX-003187,2023-02-10,P-0052,T-030,1,340.93,0,340.93
TRX-003188,2023-04-15,P-0008,T-022,13,173.65,0,2257.45
TRX-003189,2023-06-27,P-0180,T-048,10,449.28,13,3908.74
TRX-003190,2024-06-13,P-0141,T-047,7,248.53,0,1739.71
TRX-003191,2024-03-12,P-0182,T-014,15,417.62,0,6264.30
TRX-003192,2024-01-16,P-0076,T-034,13,392.31,0,5100.03
TRX-003193,2024-04-01,P-0196,T-016,7,71.37,0,499.59
TRX-003194,,P-0088,T-029,5,298.09,,1490.45
TRX-003195,2024-01-21,P-0006,T-036,4,843.07,0,3372.28
TRX-003196,2023-05-19,P-0144,T-039,9,394.88,0,3553.92
TRX-003197,2023-12-26,P-0070,T-037,10,520.91,0,5209.10
TRX-003198,2023-01-08,P-0104,T-041,12,81.89,0,982.68
TRX-003199,2023-07-08,P-0047,T-011,13,288.84,0,3754.92
TRX-003200,2024-07-12,P-0046,T-011,1,449.12,0,449.12
TRX-003201,2023-12-24,P-0155,T-046,8,452.98,0,3623.84
TRX-003202,2024-01-26,P-0030,T-032,1,483.75,0,483.75
TRX-003203,2023-07-14,P-0021,T-020,10,517.7,0,5177.00
TRX-003204,2023-03-28,P-0093,T-025,15,765.58,0,11483.70
TRX-003205,2023-12-04,P-0024,T-039,11,711.7,0,7828.70
TRX-003206,2023-07-20,P-0186,T-014,8,313.41,0,2507.28
TRX-003207,2024-04-04,P-0022,T-015,2,121.94,0,243.88
TRX-003208,2024-02-23,P-0050,T-002,9,406.88,0,3661.92
TRX-003209,2024-12-21,P-0025,T-031,11,616.78,0,6784.58
TRX-003210,2023-03-08,P-0169,T-015,6,670.97,0,4025.82
TRX-003211,2024-01-06,P-0190,T-005,2,538.15,0,1076.30
TRX-003212,2023-06-15,P-0129,T-024,12,522.69,0,6272.28
TRX-003213,2023-06-09,P-0046,T-048,6,449.12,0,2694.72
TRX-003214,2024-05-19,P-0197,T-029,13,750.96,0,9762.48
TRX-003215,2024-02-15,P-0099,T-008,13,538.89,0,7005.57
TRX-003216,2023-06-05,P-0009,T-004,14,54.26,6,714.06
TRX-003217,2023-05-11,P-0134,T-039,13,103.31,0,1343.03
TRX-003218,2024-08-03,P-0119,T-010,1,431.18,0,431.18
TRX-003219,2024-04-23,P-0183,T-010,2,381.33,14,655.89
TRX-003220,2024-03-23,P-0087,T-045,3,210.97,17,525.32
TRX-003221,2023-02-08,P-0031,T-002,12,281.57,0,3378.84
TRX-003222,2024-07-24,P-0104,T-046,2,81.89,0,163.78
TRX-003223,2023-02-10,P-0136,T-020,9,362.08,0,3258.72
TRX-003224,2024-02-06,P-0072,T-005,13,173.17,0,2251.21
TRX-003225,2024-05-27,P-0069,T-018,1,515.46,0,515.46
TRX-003226,2023-07-12,P-0186,T-022,5,313.41,0,1567.05
TRX-003227,2023-04-20,P-0061,T-039,6,441.59,0,2649.54
TRX-003228,2024-12-12,P-0104,T-012,4,81.89,0,327.56
TRX-003229,2023-06-24,P-0040,T-014,1,105.36,0,105.36
TRX-003230,2024-05-15,P-0093,T-035,3,765.58,0,2296.74
TRX-003231,2024-04-14,P-0185,T-043,1,541.49,8,498.17
TRX-003232,2024-07-30,P-0176,T-023,3,356.61,0,1069.83
TRX-003233,2024-02-22,P-0002,T-034,9,300.52,0,2704.68
TRX-003234,2024-06-09,P-0155,T-042,1,452.98,0,452.98
TRX-003235,2024-07-03,P-0064,T-045,3,378.64,0,1135.92
TRX-003236,2024-03-05,P-0035,T-023,7,580.48,0,4063.36
TRX-003237,2024-10-17,P-0165,T-023,12,117.74,0,1412.88
TRX-003238,2024-10-29,P-0178,T-010,10,220.82,29,1567.82
TRX-003239,2023-08-07,P-0152,T-047,10,665.71,0,6657.10
TRX-003240,2023-01-31,P-0020,T-048,13,525.72,12,6014.24
TRX-003241,2024-08-05,P-0154,T-008,4,316.24,0,1264.96
TRX-003242,2023-05-27,P-0131,T-018,10,444.99,0,4449.90
TRX-003243,2024-12-11,P-0060,T-043,11,241.29,0,2654.19
TRX-003244,2024-10-27,P-0083,T-007,8,604.06,0,4832.48
TRX-003245,2024-06-09,P-0058,T-021,11,168.62,0,1854.82
TRX-003246,2024-09-28,P-0195,T-014,9,419.81,17,3135.98
TRX-003247,2024-08-15,P-0089,T-006,2,94.19,0,188.38
TRX-003248,2024-07-25,P-0116,T-035,9,843.61,0,7592.49
TRX-003249,2024-08-30,P-0068,T-023,4,303.34,0,1213.36
TRX-003250,2023-01-03,P-0122,T-002,9,784.1,0,7056.90
TRX-003251,2024-06-13,P-0108,T-005,8,639.26,0,5114.08
TRX-003252,2024-06-16,P-0085,T-015,10,574.36,0,5743.60
TRX-003253,2024-09-05,P-0124,T-002,15,300.81,28,3248.75
TRX-003254,2024-03-02,P-0136,T-013,5,362.08,0,1810.40
TRX-003255,2024-12-26,P-0144,T-009,3,394.88,0,1184.64
TRX-003256,2023-10-10,P-0090,T-027,8,577.16,0,4617.28
TRX-003257,2024-01-04,P-0111,T-016,13,138.19,0,1796.47
TRX-003258,2024-09-18,P-0103,T-049,5,298.7,0,1493.50
TRX-003259,2023-07-11,P-0022,T-048,8,121.94,0,975.52
TRX-003260,2023-04-09,P-0126,T-013,1,349.7,0,349.70
TRX-003261,2023-07-28,P-0096,T-024,1,369.7,0,369.70
TRX-003262,2024-07-15,P-0161,T-002,6,564.7,0,3388.20
TRX-003263,2024-02-17,P-0116,T-017,15,843.61,10,11388.74
TRX-003264,2024-11-10,P-0040,T-021,3,105.36,0,316.08
TRX-003265,2024-08-02,P-0165,T-047,6,117.74,0,706.44
TRX-003266,2024-07-23,P-0141,T-039,5,248.53,0,1242.65
TRX-003267,2024-06-03,P-0154,T-003,14,316.24,0,4427.36
TRX-003268,2024-06-12,P-0015,T-032,15,839.97,0,12599.55
TRX-003269,2023-04-22,P-0018,T-022,3,518.24,29,1103.85
TRX-003270,2024-11-19,P-0151,T-004,3,71.31,0,213.93
TRX-003271,2023-05-08,P-0130,T-025,14,139.47,0,1952.58
TRX-003272,2023-03-17,P-0083,T-027,1,604.06,0,604.06
TRX-003273,2024-05-06,P-0199,T-040,13,764.34,0,9936.42
TRX-003274,2023-12-06,P-0049,T-022,3,622.79,0,1868.37
TRX-003275,2024-09-09,P-0159,T-008,10,429.43,0,4294.30
TRX-003276,2024-07-22,P-0083,T-001,7,604.06,0,4228.42
TRX-003277,2024-01-27,P-0026,T-013,7,537.16,0,3760.12
TRX-003278,2024-03-10,P-0159,T-032,8,429.43,0,3435.44
TRX-003279,2023-04-12,P-0029,T-026,14,386.02,0,5404.28
TRX-003280,2023-01-16,P-0023,T-042,9,345.99,0,3113.91
TRX-003281,2023-11-18,P-0153,T-038,6,234.58,0,1407.48
TRX-003282,2024-01-06,P-0171,T-009,11,733.17,0,8064.87
TRX-003283,2024-09-19,P-0172,T-030,6,578.97,30,2431.67
TRX-003284,2023-03-08,P-0023,T-005,7,345.99,0,2421.93
TRX-003285,2024-05-25,P-0077,T-013,2,740.59,0,1481.18
TRX-003286,2023-02-03,P-0083,T-016,3,604.06,0,1812.18
TRX-003287,2024-01-22,P-0159,T-044,7,429.43,0,3006.01
TRX-003288,2024-03-03,P-0113,T-035,15,191.14,0,2867.10
TRX-003289,2024-02-28,P-0060,T-035,6,241.29,17,1201.62
TRX-003290,2024-01-04,P-0078,T-009,8,110.72,0,885.76
TRX-003291,2023-08-11,P-0026,T-027,8,537.16,0,4297.28
TRX-003292,2024-10-25,P-0088,T-038,1,298.09,0,298.09
TRX-003293,2024-11-05,P-0040,T-008,15,105.36,0,1580.40
TRX-003294,2023-02-09,P-0164,T-044,7,255.54,0,1788.78
TRX-003295,2024-07-21,P-0050,T-010,6,406.88,0,2441.28
TRX-003296,2024-09-20,P-0136,T-036,9,362.08,0,3258.72
TRX-003297,2023-12-17,P-0029,T-007,12,386.02,0,4632.24
TRX-003298,2024-09-06,P-0088,T-005,7,298.09,15,1773.64
TRX-003299,2023-08-22,P-0124,T-037,3,300.81,0,902.43
TRX-003300,2024-07-29,P-0005,T-019,9,750.5,0,6754.50
TRX-003301,2024-09-04,P-0059,T-023,2,791.54,0,1583.08
TRX-003302,2024-09-17,P-0075,T-007,10,711.85,9,6477.84
TRX-003303,2024-11-13,P-0192,T-027,2,94.68,0,189.36
TRX-003304,2024-07-24,P-0043,T-047,9,521.14,0,4690.26
TRX-003305,2023-09-09,P-0114,T-003,12,109.83,16,1107.09
TRX-003306,2024-04-26,P-0184,T-021,15,663.06,5,9448.60
TRX-003307,2023-03-24,P-0028,T-015,9,247.29,0,2225.61
TRX-003308,2024-03-27,P-0162,T-048,3,270.66,0,811.98
TRX-003309,2024-05-29,P-0156,T-049,13,132.08,12,1511.00
TRX-003310,2023-08-21,P-0102,T-018,13,577.31,17,6229.17
TRX-003311,2024-06-07,P-0011,T-018,5,230.29,0,1151.45
TRX-003312,2023-02-18,P-0131,T-019,8,444.99,0,3559.92
TRX-003313,2023-01-18,P-0082,T-038,15,82.17,0,1232.55
TRX-003314,2023-11-28,P-0179,T-037,8,77.95,0,623.60
TRX-003315,2024-10-21,P-0015,T-006,10,839.97,0,8399.70
TRX-003316,2024-10-07,P-0029,T-031,15,386.02,27,4226.92
TRX-003317,2023-02-17,P-0193,T-020,11,299.11,0,3290.21
TRX-003318,2023-08-21,P-0096,T-027,8,369.7,0,2957.60
TRX-003319,2024-05-09,P-0155,T-046,8,452.98,0,3623.84
TRX-003320,2023-07-10,P-0146,T-049,12,395.97,17,3943.86
TRX-003321,2023-07-10,P-0167,T-021,11,148.44,0,1632.84
TRX-003322,2024-05-12,P-0019,T-009,2,285.14,0,570.28
TRX-003323,2023-07-28,P-0169,T-019,1,670.97,0,670.97
TRX-003324,2024-08-22,P-0098,T-015,3,348.62,0,1045.86
TRX-003325,2023-01-06,P-0159,T-049,6,429.43,0,2576.58
TRX-003326,2023-05-25,P-0021,T-023,2,517.7,0,1035.40
TRX-003327,2023-06-12,P-0127,T-003,14,241.26,0,3377.64
TRX-003328,2023-09-20,P-0018,T-033,7,518.24,0,3627.68
TRX-003329,2023-12-10,P-0113,T-005,14,191.14,16,2247.81
TRX-003330,2024-02-03,P-0170,T-024,3,363.08,0,1089.24
TRX-003331,2023-08-17,P-0110,T-030,5,536.34,0,2681.70
TRX-003332,2023-10-01,P-0061,T-050,10,441.59,0,4415.90
TRX-003333,2023-04-02,P-0093,T-029,9,765.58,0,6890.22
TRX-003334,2023-01-17,P-0176,T-007,10,356.61,14,3066.85
TRX-003335,2023-03-03,P-0130,T-036,10,139.47,0,1394.70
TRX-003336,2024-05-03,P-0124,T-043,3,300.81,12,794.14
TRX-003337,2023-02-19,P-0009,T-005,14,54.26,0,759.64
TRX-003338,2023-02-02,P-0089,T-010,9,94.19,0,847.71
TRX-003339,2023-12-28,P-0186,T-050,6,313.41,0,1880.46
TRX-003340,2023-06-30,P-0058,T-044,15,168.62,0,2529.30
TRX-003341,2023-01-15,P-0103,T-032,1,298.7,0,298.70
TRX-003342,2024-10-06,P-0191,T-037,14,187.53,0,2625.42
TRX-003343,2024-03-31,P-0152,T-043,4,665.71,0,2662.84
TRX-003344,2024-04-01,P-0109,T-024,1,501.08,0,501.08
TRX-003345,2023-11-12,P-0076,T-043,14,392.31,0,5492.34
TRX-003346,2024-11-25,P-0036,T-047,14,611.92,0,8566.88
TRX-003347,2023-12-21,P-0121,T-008,10,791.35,0,7913.50
TRX-003348,2024-10-27,P-0006,T-048,11,843.07,0,9273.77
TRX-003349,2024-12-09,P-0077,T-031,10,740.59,0,7405.90
